iter	Passed	Remaining
430	1495	1974
431	1498	1970
432	1501	1965
433	1504	1961
434	1507	1957
435	1510	1953
436	1513	1950
437	1517	1946
438	1520	1942
439	1523	1939
440	1527	1935
441	1530	1932
442	1533	1928
443	1536	1924
444	1540	1920
445	1545	1920
446	1549	1916
447	1552	1912
448	1555	1909
449	1558	1905
450	1562	1901
451	1565	1898
452	1569	1895
453	1572	1891
454	1576	1888
455	1579	1884
456	1583	1881
457	1586	1877
458	1590	1874
459	1593	1870
460	1596	1867
461	1600	1863
462	1603	1860
463	1607	1856
464	1610	1853
465	1614	1850
466	1617	1846
467	1621	1843
468	1625	1840
469	1628	1836
470	1631	1832
471	1635	1829
472	1639	1826
473	1642	1822
474	1645	1818
475	1648	1815
476	1651	1811
477	1655	1807
478	1658	1804
479	1662	1801
480	1665	1797
481	1669	1794
482	1672	1790
483	1677	1788
484	1682	1786
485	1689	1787
486	1693	1784
487	1697	1781
488	1702	1778
489	1706	1776
490	1710	1773
491	1715	1770
492	1719	1767
493	1722	1764
494	1725	1760
495	1729	1757
496	1732	1753
497	1736	1749
498	1739	1746
499	1742	1742
500	1745	1738
501	1749	1735
502	1752	1731
503	1755	1727
504	1759	1724
505	1762	1720
506	1766	1717
507	1769	1714
508	1775	1712
509	1780	1710
510	1784	1707
511	1788	1704
512	1791	1700
513	1795	1697
514	1803	1698
515	1806	1694
516	1810	1691
517	1817	1691
518	1821	1688
519	1825	1684
520	1830	1683
521	1835	1680
522	1838	1677
523	1842	1673
524	1847	1671
525	1850	1667
526	1853	1664
527	1857	1660
528	1861	1657
529	1865	1653
530	1868	1650
531	1871	1646
532	1877	1644
533	1881	1641
534	1884	1637
535	1887	1633
536	1890	1630
537	1895	1627
538	1898	1623
539	1901	1619
540	1904	1616
541	1909	1613
542	1912	1609
543	1915	1605
544	1918	1602
545	1922	1598
546	1925	1594
547	1929	1591
548	1933	1588
549	1936	1584
550	1940	1581
551	1944	1577
552	1947	1574
553	1951	1570
554	1953	1566
555	1957	1562
556	1960	1559
557	1963	1555
558	1966	1551
559	1969	1547
560	1972	1543
561	1975	1539
562	1979	1536
563	1982	1532
564	1985	1528
565	1988	1524
566	1991	1520
567	1994	1517
568	1997	1513
569	2000	1508
570	2004	1505
571	2006	1501
572	2009	1497
573	2012	1493
574	2014	1489
575	2017	1485
576	2020	1481
577	2024	1477
578	2026	1473
579	2029	1469
580	2031	1465
581	2034	1461
582	2037	1457
583	2040	1453
584	2043	1449
585	2045	1445
586	2048	1441
587	2051	1437
588	2054	1433
589	2057	1429
590	2060	1425
591	2063	1421
592	2065	1417
593	2068	1414
594	2071	1410
595	2074	1406
596	2077	1402
597	2079	1398
598	2083	1394
599	2086	1390
600	2089	1387
601	2091	1382
602	2094	1378
603	2096	1374
604	2100	1371
605	2102	1367
606	2105	1363
607	2108	1359
608	2110	1354
609	2112	1350
610	2115	1347
611	2118	1342
612	2121	1339
613	2123	1335
614	2126	1330
615	2128	1326
616	2131	1323
617	2134	1319
618	2137	1315
619	2139	1311
620	2142	1307
621	2144	1303
622	2147	1299
623	2150	1295
624	2153	1291
625	2155	1287
626	2157	1283
627	2160	1279
628	2163	1275
629	2165	1271
630	2168	1268
631	2170	1264
632	2173	1259
633	2175	1256
634	2178	1252
635	2181	1248
636	2184	1244
637	2186	1240
638	2188	1236
639	2191	1232
640	2194	1228
641	2196	1225
642	2199	1221
643	2202	1217
644	2204	1213
645	2206	1209
646	2209	1205
647	2212	1201
648	2214	1197
649	2217	1194
650	2220	1190
651	2222	1186
652	2225	1182
653	2228	1178
654	2231	1175
655	2233	1171
656	2236	1167
657	2238	1163
658	2241	1159
659	2244	1156
660	2247	1152
661	2250	1148
662	2252	1144
663	2254	1141
664	2257	1137
665	2261	1134
666	2264	1130
667	2267	1126
668	2269	1123
669	2272	1119
670	2275	1115
671	2277	1111
672	2281	1108
673	2283	1104
674	2285	1100
675	2288	1096
676	2291	1093
677	2293	1089
678	2296	1085
679	2299	1082
680	2301	1078
681	2304	1074
682	2307	1070
683	2309	1067
684	2312	1063
685	2315	1059
686	2317	1055
687	2319	1051
688	2322	1048
689	2324	1044
690	2327	1040
691	2329	1036
692	2331	1032
693	2333	1029
694	2336	1025
695	2339	1021
696	2341	1018
697	2344	1014
698	2346	1010
699	2349	1006
700	2351	1002
701	2354	999
702	2356	995
703	2359	991
704	2361	988
705	2363	984
706	2366	980
707	2368	976
